@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
6895,114,4179,2830,0.596233,0.983735,0.62263,0.983735,0.37737,0.762595,0.789984,1.245259,0
6895,114,4174,2835,0.59552,0.983735,0.622911,0.983735,0.377089,0.762806,0.789628,1.245822,0
6894,115,4168,2841,0.594664,0.983593,0.623215,0.983593,0.376785,0.76299,0.789128,1.246429,0
6894,115,4166,2843,0.594379,0.983593,0.623327,0.983593,0.376673,0.763075,0.788986,1.246655,0
6894,115,4164,2845,0.594093,0.983593,0.62344,0.983593,0.37656,0.763159,0.788843,1.24688,0
6894,115,4159,2850,0.59338,0.983593,0.623722,0.983593,0.376278,0.763371,0.788486,1.247444,0
6893,116,4152,2857,0.592381,0.98345,0.624083,0.98345,0.375917,0.763598,0.787916,1.248167,0
6893,116,4148,2861,0.591811,0.98345,0.624309,0.98345,0.375691,0.763767,0.78763,1.248619,0
6893,116,4146,2863,0.591525,0.98345,0.624423,0.98345,0.375577,0.763852,0.787488,1.248845,0
6893,116,4135,2874,0.589956,0.98345,0.625045,0.98345,0.374955,0.764318,0.786703,1.250091,0
6893,116,4132,2877,0.589528,0.98345,0.625215,0.98345,0.374785,0.764445,0.786489,1.250431,0
6893,116,4123,2886,0.588244,0.98345,0.625726,0.98345,0.374274,0.764827,0.785847,1.251452,0
6893,116,4122,2887,0.588101,0.98345,0.625783,0.98345,0.374217,0.764869,0.785775,1.251566,0
6892,117,4118,2891,0.58753,0.983307,0.625976,0.983307,0.374024,0.76497,0.785419,1.251953,0
6890,119,4106,2903,0.585818,0.983022,0.626591,0.983022,0.373409,0.765343,0.78442,1.253183,0
6889,120,4098,2911,0.584677,0.982879,0.627014,0.982879,0.372986,0.765615,0.783778,1.254027,0
6889,120,4091,2918,0.583678,0.982879,0.627413,0.982879,0.372587,0.765913,0.783279,1.254827,0
6889,120,4090,2919,0.583535,0.982879,0.627471,0.982879,0.372529,0.765955,0.783207,1.254941,0
6889,120,4084,2925,0.582679,0.982879,0.627814,0.982879,0.372186,0.766211,0.782779,1.255627,0
6888,121,4080,2929,0.582109,0.982736,0.628009,0.982736,0.371991,0.766313,0.782423,1.256018,0
6887,122,4072,2937,0.580967,0.982594,0.628433,0.982594,0.371567,0.766585,0.781781,1.256867,0
6886,123,4069,2940,0.580539,0.982451,0.628571,0.982451,0.371429,0.766644,0.781495,1.257143,0
6885,124,4062,2947,0.579541,0.982308,0.628939,0.982308,0.371061,0.766875,0.780925,1.257879,0
6884,125,4046,2963,0.577258,0.982166,0.629826,0.982166,0.370174,0.76749,0.779712,1.259652,0
6884,125,4043,2966,0.57683,0.982166,0.629999,0.982166,0.370001,0.767618,0.779498,1.259998,0
6884,125,4038,2971,0.576116,0.982166,0.630287,0.982166,0.369713,0.767832,0.779141,1.260575,0
6884,125,4035,2974,0.575688,0.982166,0.630461,0.982166,0.369539,0.767961,0.778927,1.260921,0
6884,125,4032,2977,0.57526,0.982166,0.630634,0.982166,0.369366,0.768089,0.778713,1.261268,0
6884,125,4031,2978,0.575118,0.982166,0.630692,0.982166,0.369308,0.768132,0.778642,1.261383,0
6884,125,4027,2982,0.574547,0.982166,0.630923,0.982166,0.369077,0.768304,0.778356,1.261846,0
6884,125,4020,2989,0.573548,0.982166,0.631328,0.982166,0.368672,0.768604,0.777857,1.262656,0
6884,125,4015,2994,0.572835,0.982166,0.631618,0.982166,0.368382,0.768818,0.7775,1.263235,0
6884,125,4010,2999,0.572122,0.982166,0.631907,0.982166,0.368093,0.769033,0.777144,1.263815,0
